Title,Keyword Used,Company,Area,Posted On,Number of Applicants,Seniority level,Employment type,Job function,Industries
Sr. Data Analyst,data analyst,Home Solutions,"Raleigh, NC",13 hours ago,,Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet"
Data Analyst - Insurance - REMOTE,data analyst,WAHVE LLC,"Los Angeles, CA",14 hours ago,,Mid-Senior level,Full-time,Information Technology,Staffing and Recruiting
Ad Ops Data Analyst,data analyst,AdMedia,United States,3 hours ago,96 applicants,Mid-Senior level,Full-time,"Strategy/Planning, Advertising, and Analyst","Advertising Services and Technology, Information and Internet"
Production Support Data Analyst,data analyst,"TechKnowLogic Minds, LLC","New York, NY",12 hours ago,,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
Data Analyst - Insurance - REMOTE,data analyst,WAHVE LLC,"Raleigh, NC",14 hours ago,,Mid-Senior level,Full-time,Information Technology,Staffing and Recruiting
Data Analyst - Insurance - REMOTE,data analyst,WAHVE LLC,"New York, NY",14 hours ago,,Mid-Senior level,Full-time,Information Technology,Staffing and Recruiting
Data Analyst - Insurance - REMOTE,data analyst,WAHVE LLC,"Las Vegas, NV",14 hours ago,,Mid-Senior level,Full-time,Information Technology,Staffing and Recruiting
"Senior Data Analyst, Product",data analyst,AllTrails,United States,14 hours ago,,Not Applicable,Full-time,Information Technology,"Technology, Information and Internet"
Sr. Data Analyst,data analyst,Sedgwick,"Tennessee, United States",17 hours ago,42 applicants,Mid-Senior level,Full-time,Information Technology,Insurance
BI Reporting Analyst III: 24-02132,data analyst,"Akraya, Inc.","Mountain View, CA",19 hours ago,153 applicants,Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Staffing and Recruiting
Data Analyst - Insurance - REMOTE,data analyst,WAHVE LLC,"Philadelphia, PA",14 hours ago,,Mid-Senior level,Full-time,Information Technology,Staffing and Recruiting
Data Product Analyst,data analyst,Capital Group,"Los Angeles, CA",17 hours ago,148 applicants,Not Applicable,Full-time,"Research, Analyst, and Information Technology",Financial Services and Investment Management
data analyst,data analyst,Robert Half,"Baton Rouge, LA",18 hours ago,,Entry level,Full-time,Information Technology,Staffing and Recruiting
"Data Analyst, Global Tax Services",data analyst,Amazon,"New York, United States",21 hours ago,73 applicants,Not Applicable,Full-time,"Finance, Information Technology, and Accounting/Auditing",Software Development
Sr. Enterprise Data Analyst,data analyst,Under Armour,"Baltimore, MD",5 hours ago,,Mid-Senior level,Full-time,Information Technology,"Advertising Services, Manufacturing, and Retail"
Data Analyst - Insurance - REMOTE,data analyst,WAHVE LLC,"Minneapolis, MN",14 hours ago,,Mid-Senior level,Full-time,Information Technology,Staffing and Recruiting
"Data Engineer, Analytics",data analyst,Meta,"Washington, DC",5 hours ago,,Not Applicable,Full-time,Information Technology,"Technology, Information and Internet"
Data Engineer,data analyst,Verition Fund Management LLC,"New York, NY",20 hours ago,,Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet"
Senior Data Analyst,data analyst,Epsilon,"Atlanta, GA",5 hours ago,,Mid-Senior level,Full-time,Marketing,"IT Services and IT Consulting, Advertising Services, and Software Development"
Marketing Data Analyst,data analyst,Jooble,"Vancouver, WA",6 hours ago,56 applicants,Entry level,Full-time,Information Technology,"Technology, Information and Internet"
Marketing Data Analyst,data analyst,Jooble,"Fairview, OR",4 hours ago,39 applicants,Entry level,Full-time,Information Technology,"Technology, Information and Internet"
Senior Data Analyst,data analyst,Epsilon,"Irving, TX",5 hours ago,,Mid-Senior level,Full-time,Marketing,"IT Services and IT Consulting, Advertising Services, and Software Development"
AML Data Analyst,data analyst,Randstad USA,"Charlotte, NC",22 hours ago,,Not Applicable,Full-time,Information Technology,Staffing and Recruiting
Data Analyst,data analyst,Dice,United States,22 hours ago,64 applicants,Entry level,Full-time,Information Technology,Software Development
Data Analyst,data analyst,Uline,"Pleasant Prairie, WI",5 hours ago,,Entry level,Full-time,"Analyst, Finance, and Strategy/Planning",Wholesale
"Data Engineer- up to $160,000 + Bonuses",data analyst,Saragossa,"Boston, MA",17 hours ago,187 applicants,Associate,Full-time,"Information Technology, Engineering, and Finance",IT Services and IT Consulting and Financial Services
Compliance Data Analyst (B4),data analyst,Applied Materials,"Santa Clara, CA",3 hours ago,,Not Applicable,Full-time,Information Technology,"Appliances, Electrical, and Electronics Manufacturing, Nanotechnology Research, and Semiconductor Manufacturing"
Senior Data Science Analyst,data analyst,Discover Financial Services,"Riverwoods, IL",4 hours ago,,Mid-Senior level,Full-time,Information Technology,"Banking, Financial Services, and Hospitality"
Business Intelligence Analyst I,data analyst,Avnet,"Phoenix, AZ",15 hours ago,116 applicants,Entry level,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting
Technical Data Analyst,data analyst,"KBR, Inc.","Cambridge, MA",22 hours ago,52 applicants,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
"Senior Analyst, Business Intelligence",data analyst,Magnite,"New York, NY",16 hours ago,88 applicants,Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Advertising Services
Senior Pharmacy Data Analyst - Remote,data analyst,Clearway Health,United States,16 hours ago,71 applicants,Mid-Senior level,Full-time,Information Technology,Hospitals and Health Care
Data Analyst,data analyst,Dice,"Getzville, NY",22 hours ago,,Mid-Senior level,Full-time,Information Technology,Software Development
GIS Analyst  II,data analyst,ALTAMIRA,"Houston, TX",19 hours ago,,Associate,Full-time,Consulting and Other,Oil and Gas
Data Engineer,data analyst,Franklin Fitch,"Manhattan, NY",4 hours ago,100 applicants,Mid-Senior level,Full-time,Information Technology,Legal Services
Data/Reporting Analyst,data analyst,Randstad USA,"Charlotte, NC",10 hours ago,,Not Applicable,Full-time,"Research, Analyst, and Information Technology",Staffing and Recruiting
Data Engineer,data analyst,Reebelo,United States,4 hours ago,,Mid-Senior level,Full-time,Information Technology and Engineering,Internet Marketplace Platforms and Retail
