Title,Keyword Used,Company,Area,Posted On,Number of Applicants,Seniority level,Employment type,Job function,Industries,Nivel de antigüedad,Tipo de empleo,Función laboral,Sectores
"Data Scientist / Machine Learning Engineer - Search, Personalization, Ads",data scientist,Faire,"San Francisco, CA",10 hours ago,,Associate,Full-time,Engineering and Information Technology,Software Development
UI Developer,data scientist,HR Pundits Inc,"O'Fallon, MO",24 minutes ago,,Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
IT Data Scientist,data scientist,Costco Wholesale,"Seattle, WA",45 minutes ago,,Mid-Senior level,Full-time,Engineering and Information Technology,Retail
Assistant Manager- Analytics/ Data Science specialist,data scientist,Genpact,"Morris Plains, NJ",5 hours ago,78 applicants,Associate,Full-time,Analyst and Consulting,Business Consulting and Services and Pharmaceutical Manufacturing
SDET - Python (REMOTE),data scientist,Cyware,"Charlotte, NC",2 hours ago,52 applicants,Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Data Scientist - Direct Hire Authority,data scientist,Social Security Administration,"Woodlawn, MD",14 hours ago,37 applicants,Mid-Senior level,Full-time,Engineering and Information Technology,Government Administration
DATA SCIENTIST,data scientist,USAJOBS,"Arlington, VA",22 hours ago,,Mid-Senior level,Full-time,Engineering and Information Technology,Human Resources Services
Machine Learning Engineer,data scientist,Progressive Leasing,United States,6 hours ago,170 applicants,Mid-Senior level,Full-time,Information Technology,Financial Services
Data Scientist,data scientist,Kavaliro,"Reston, VA",21 hours ago,,Entry level,Full-time,Information Technology,IT Services and IT Consulting
Deep Learning Researcher,data scientist,DataRobot,"Boston, MA",3 hours ago,,Mid-Senior level,Full-time,Engineering and Information Technology,Software Development
AI Agent Developer (Entry-Level),data scientist,AIPAY,United States,13 hours ago,174 applicants,Entry level,Full-time,Sales and Business Development,Financial Services
"Staff, Data Scientist",data scientist,Walmart Global Tech,"Bentonville, AR",1 hour ago,148 applicants,Not Applicable,Full-time,Information Technology,Retail
Senior Data Scientist,data scientist,Adyen,"Chicago, IL",3 hours ago,,Mid-Senior level,Full-time,Engineering and Information Technology,Financial Services
Deep Learning Researcher,data scientist,DataRobot,"San Francisco, CA",3 hours ago,,Mid-Senior level,Full-time,Engineering and Information Technology,Software Development
Junior/Entry Software Developer - Remote,data scientist,SynergisticIT,"Phoenix, AZ",2 hours ago,,Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Public Notice for Direct Hire Authority - Data Scientist,data scientist,USAJOBS,"Rockville, MD",5 hours ago,,Entry level,Full-time,Engineering and Information Technology,Human Resources Services
Senior MLOps Engineer,data scientist,Big Cloud,United States,6 hours ago,107 applicants,Mid-Senior level,Full-time,"Engineering, Information Technology, and Research","Software Development, Data Infrastructure and Analytics, and Utilities"
Machine Learning Data Scientist,data scientist,Idaho National Laboratory,"Idaho Falls, ID",3 hours ago,102 applicants,Mid-Senior level,Full-time,Other,Research Services
Distinguished Scientist,data scientist,Zillow,United States,11 hours ago,,Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Real Estate
Data Analyst/Engineer/Scientist - Junior,data scientist,SynergisticIT,"Lansing, MI",2 hours ago,,Entry level,Full-time,Information Technology,IT Services and IT Consulting
Data Science Solutions Engineer,data scientist,EDO,New York City Metropolitan Area,9 hours ago,97 applicants,Mid-Senior level,Full-time,"Information Technology, Analyst, and Engineering",Advertising Services and Information Services
Remote Software Developer - Entry/Junior,data scientist,SynergisticIT,"Lowell, MA",2 hours ago,,Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Junior/Entry Software Developer,data scientist,SynergisticIT,"Austin, TX",2 hours ago,,Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Retail Data Scientist,data scientist,Capitol Federal® Savings Bank,"Overland Park, KS",4 hours ago,58 applicants,Entry level,Full-time,Engineering and Information Technology,Banking
Senior Software Engineer - AI/ML,data scientist,eBay,"San Jose, CA",1 hour ago,,Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Machine Learning Engineer Graduate (Large Language Models & Generative AI-US) - 2025 Start (BS/MS),data scientist,TikTok,"San Jose, CA",35 minutes ago,,Not Applicable,Full-time,"Research, Information Technology, and Engineering",Entertainment Providers
Machine Learning Serving Engineer - VD,data scientist,Samsung Electronics America,"Plano, TX",10 hours ago,71 applicants,Mid-Senior level,Full-time,Engineering and Information Technology,Computers and Electronics Manufacturing
Senior Associate Machine Learning Engineer,data scientist,Workday,"Atlanta, GA",1 hour ago,,Not Applicable,Full-time,Engineering and Information Technology,Software Development
Application Engineer,data scientist,NALA Membranes,"Morrisville, NC",5 hours ago,,Mid-Senior level,Full-time,Engineering and Information Technology,Environmental Services
AI Engineer,data scientist,Writer,"San Francisco, CA",8 hours ago,,Mid-Senior level,Full-time,Engineering,Software Development
AI Engineer,data scientist,Lumenalta (formerly Clevertech),United States,8 hours ago,53 applicants,Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Retail Data Scientist,data scientist,Capitol Federal® Savings Bank,"Wichita, KS",4 hours ago,56 applicants,Entry level,Full-time,Engineering and Information Technology,Banking
Software Engineer,data scientist,Goliath Partners,"New York, United States",7 hours ago,,Mid-Senior level,Full-time,"Engineering, Information Technology, and Finance","Capital Markets, Software Development, and Financial Services"
"Staff Data Scientist / Machine Learning Engineer - Search, Personalization, Ads",data scientist,Faire,"San Francisco, CA",10 hours ago,,Associate,Full-time,Engineering and Information Technology,Software Development
Machine Learning Scientist - NLP - Senior Associate - Machine Learning Center of Excellence,data scientist,JPMorganChase,"Seattle, WA",10 hours ago,48 applicants,Not Applicable,Full-time,Other,Financial Services
TS/SCI w/Poly - AI/ML Software Engineer (Chantilly location),data scientist,Leading Path Consulting,"Chantilly, VA",5 hours ago,,Mid-Senior level,Full-time,Engineering,"Technology, Information and Internet"
TS/SCI w/Poly - AI/ML Software Engineer (Chantilly location),data scientist,Leading Path Consulting,"McLean, VA",5 hours ago,,Mid-Senior level,Full-time,Engineering,"Technology, Information and Internet"
Researcher,data scientist,Veolia North America,"Minnetonka, MN",36 minutes ago,,Associate,Full-time,Quality Assurance,Environmental Services
Principal Data Scientist,data scientist,Salesforce,"San Francisco, CA",11 hours ago,129 applicants,Not Applicable,Full-time,Engineering and Information Technology,"Software Development, IT Services and IT Consulting, and Technology, Information and Internet"
